,clean,stochastic_no_ws,stochastic_incl_ws,word_score_no_ws,word_score_incl_ws
64k_lstm_no_whitespace_pert_vanilla_bert_yelp_full,0.5955875434862901,0.5005328282421792,0.40492811042542565,0.4034711700068575,0.30110046379768807
64k_lstm_all_pert_vanilla_bert_yelp_full,0.5912303678852774,0.49107345798841784,0.48075298899962576,0.40067873708257534,0.40195557411126204
64k_lstm_all_pert_finetuned_bert_yelp_full,0.6032304058419339,0.5026631299595329,0.48476755721775494,0.39165184063621733,0.392575723625502
baseline_roberta_yelp_full,0.6389129501791477,0.4677468922020186,0.4691942728236215,0.37574130868709615,0.36741472417540155
roben_1_roberta_yelp_full,0.5179590504767352,0.4218558527344151,0.3501643775628952,0.38753975515103123,0.2856814554612726
roben_2_roberta_yelp_full,0.5653215863069221,0.47291684564631603,0.41910096371297145,0.4392984167885694,0.3538008204521494
roben_1_tok_roberta_yelp_full,0.48061166512059367,0.39886744455864104,0.3155178779391631,0.39361959495240234,0.2918419446366282
roben_2_tok_roberta_yelp_full,0.5592872791386574,0.47873498045649765,0.39711365339304733,0.47713266779693164,0.35911080754923297
64k_lstm_all_pert_vanilla_roberta_yelp_full,0.6267001699833257,0.5550847792533782,0.5441131332850095,0.4720636286684985,0.4743920533587807
64k_lstm_all_pert_finetuned_roberta_yelp_full,0.6232650459626525,0.5619130987516237,0.5408095446261575,0.4687914899692007,0.4566166933936325
